Date,Open,High,Low,Close,Adj Close,Volume
2018-08-14,52.099998,52.910000,51.770000,52.759998,52.759998,17475600
2018-08-15,51.599998,51.980000,50.349998,50.410000,50.410000,26625700
2018-08-16,50.900002,51.029999,49.630001,49.720001,49.720001,20125600
2018-08-17,49.529999,51.189999,49.230000,50.799999,50.799999,17343200
2018-08-20,51.099998,51.770000,51.040001,51.439999,51.439999,14783600
2018-08-21,51.160000,52.099998,51.020000,51.730000,51.730000,13378300
2018-08-22,51.650002,53.299999,51.630001,53.299999,53.299999,13073500
2018-08-23,53.099998,53.520000,52.650002,53.349998,53.349998,12263000
2018-08-24,53.599998,54.459999,53.549999,54.150002,54.150002,10971100
2018-08-27,54.169998,55.669998,54.169998,55.669998,55.669998,11205300
2018-08-28,55.930000,56.410000,55.070000,55.650002,55.650002,17875600
2018-08-29,55.250000,56.160000,55.139999,55.220001,55.220001,10292800
2018-08-30,55.299999,55.889999,54.400002,54.570000,54.570000,14432500
2018-08-31,54.520000,54.799999,53.310001,53.619999,53.619999,15000000
2018-09-03,53.299999,54.169998,53.209999,54.049999,54.049999,4356600
2018-09-04,53.599998,53.790001,52.000000,52.000000,52.000000,10521800
2018-09-05,52.080002,52.639999,51.750000,52.150002,52.150002,7100000
2018-09-06,52.790001,53.869999,52.400002,53.480000,53.480000,12479400
2018-09-10,53.910000,54.040001,52.959999,53.220001,53.220001,9341300
2018-09-11,52.610001,52.990002,52.130001,52.590000,52.590000,10347800
2018-09-12,53.000000,53.709999,52.180000,53.450001,53.450001,14230800
2018-09-13,53.700001,54.430000,53.520000,53.779999,53.779999,14353500
2018-09-14,54.099998,55.230000,54.049999,55.200001,55.200001,17021500
2018-09-17,55.299999,55.570000,55.009998,55.250000,55.250000,6314700
